아이디,음식카테고리,음식명,음식설명,파일명,Url
,양식,구제르,바삭바삭 촉촉 맛난 빵이다!!,2구제르.jpg,https://www.youtube.com/watch?v=3RRjb_5eiGM
,양식,빠에야,스페인식 볶음밥 다양한 해물이 조화로운,2빠에야.jpg,https://www.youtube.com/watch?v=AIPf7YUBlNs
,양식,미네스트로네,걸쭉한 국물이 목구멍을 스치는,2미네스트로네.jpg,https://www.youtube.com/watch?v=YXFavjLpfLU
,양식,까르보나라,부드러운 크림이 풍미를 돋군다,2까르보나라.jpg,https://www.youtube.com/watch?v=vlmFQ4wIJiI
,양식,라구볼로네제파스타,시골스러워서 정겨운 파스타!,2라구볼로네제파스타.jpg,https://www.youtube.com/watch?v=eTNG5KTL8BI
,양식,라따뚜이,에니메이션 영화로 이름을 알렸다,2라따뚜이.jpg,https://www.youtube.com/watch?v=V5xf5M3axHE
,양식,코티지파이,쇠고기가 들어가 더 맛있네!,2코티지파이.jpg,https://www.youtube.com/watch?v=XQGS_dBgJdk
,양식,밀푀유,다양한 토핑을 올려보자,2밀푀유.jpg,https://www.youtube.com/watch?v=EPGglwlPWVQ
,양식,샤토브리앙,두툼하고 넓직한 프랑스식 스테이크!,2샤토브리앙.jpg,https://www.youtube.com/watch?v=_1Hmxmlz2o0
,양식,비프 웰링턴,푸아그라를 넣어 한층더 고급진 ,2비프 웰링턴.jpg,https://www.youtube.com/watch?v=gNoZZG9yijY
,양식,마들렌,이름처럼 맛도 고급스럽다!,2마들렌.jpg,https://www.youtube.com/watch?v=jghNqyzxWWE
,양식,파바다,단백질 재료로 구성되어 담백하다,2파바다.jpg,https://www.youtube.com/watch?v=QJ0ENqAmCUY
,양식,고구마그라탕,고구마와 치즈가 오븐속에서 지글지글,2고구마그라탕.jpg,https://www.youtube.com/watch?v=HvuJ1wy2KII
,양식,로스트비프,영국음식은 맛없다는 편견은 버려!,2로스트비프.jpg,https://www.youtube.com/watch?v=iCuBkSi9CNc
,양식,햄버거,함부르크 지방에서 유래된 세계적 음식.,2햄버거.jpg,https://www.youtube.com/watch?v=HKKRPm8Oc_Q
,양식,프렌치프라이,감자튀김요리의 원조,2프렌치프라이.jpg,https://www.youtube.com/watch?v=ohdaxUW7jvc
,양식,카프레제,토마토와 치즈의 조합이 의외로 괜찮네?,2카프레제.jpg,https://www.youtube.com/watch?v=gEnya99pI8s
,양식,오소부코,송아지 뒷다리로 만들어 야들야들한!,2오소부코.jpg,https://www.youtube.com/watch?v=hzPhVNO_ipM
,양식,니스와즈샐러드,건강한 야채가 한가득,2니스와즈샐러드.jpg,https://www.youtube.com/watch?v=NAw0yxJ3Zco
,양식,미국식핫도그,콜라와 함께 경기장에서 쩝쩝,2미국식핫도그.jpg,https://www.youtube.com/watch?v=TWcAh5W523A
,양식,커리부어스트,카레가루가 솔솔솔 맛난 소시지!,2커리부어스트.jpg,https://www.youtube.com/watch?v=gTp1FsJO5uU
,양식,피자,치즈가 쭉 늘어나야 진짜지!,2피자.jpg,https://www.youtube.com/watch?v=ND-2SkfL1UQ
,양식,라자냐,반죽사이로 쏙쏙 들어간 재료들이 매력,2라자냐.jpg,https://www.youtube.com/watch?v=s4fptu1anGk
,양식,크림리소토,부드러운 식감이 도드라져 맛난!,2크림리소토.jpg,https://www.youtube.com/watch?v=RIK212UOBrU
,양식,피시앤칩스,영국을 대표하는 음식,2피시앤칩스.jpg,https://www.youtube.com/watch?v=4FgXu_F4fLo
,양식,물마리니에르,홍합에 와인을 프랑스버젼 홍합탕!,2물마리니에르.jpg,https://www.youtube.com/watch?v=1eNevwmFqbQ
,양식,치즈퐁듀,뭘 찍어도 맛있을수밖에 없다!,2치즈퐁듀.jpg,https://www.youtube.com/watch?v=dx0c06s2TUY
