아이디,음식카테고리,음식명,음식설명,파일명,Url
,일식,하이라이스,인지도는 2인자 맛은 1인자,2하이라이스,https://www.youtube.com/watch?v=ujtS8DV7tS4
,일식,가츠동,바삭한 돈까츠에 촉촉한 소스!,2가츠동,https://www.youtube.com/watch?v=33ompnBqAEo
,일식,소바,시원한 국물과 탱탱한 메밀면!,2소바,https://www.youtube.com/watch?v=6ZRLdW-E91M
,일식,미소라멘,구수함이 기막힌 라멘!,2미소라멘,https://www.youtube.com/watch?v=J62MON4FW-M
,일식,모찌,말캉말캉 디저트의 대명사!,2모찌,https://www.youtube.com/watch?v=GMq8aW3aj3I
,일식,온센다마고돈부리,일본판 계란밥 아침식사로 최고다!,2온센다마고돈부리,https://www.youtube.com/watch?v=KRGrvqhed5w
,일식,장어덮밥,스테미나의 대명사 기운이 넘치는,2장어덮밥,https://www.youtube.com/watch?v=RZzMVFZ-4SY
,일식,야키소바빵,동양과 서양의 조합으로 탄생!,2야키소바빵,https://www.youtube.com/watch?v=EJvEz6Nly5Y
,일식,미소시루,뜨근한 밥과 함께 후루룩!,2미소시루,https://www.youtube.com/watch?v=IM_ONxAHjpM
,일식,가라아게,치킨은 언제나 답이다!,2가라아게,https://www.youtube.com/watch?v=r7-r_LZJDzo
,일식,감자고로케,호호 불며 먹어야되는!,2감자고로케,https://www.youtube.com/watch?v=dtJQ--5mq88
,일식,돈카츠,골목식당 연돈을 알린 음식!,2돈카츠,https://www.youtube.com/watch?v=HqwDMOEMAro
,일식,일본식카레,매콤한 냄새가 입맛을 돋군다.,2일본식카레,https://www.youtube.com/watch?v=2ikt6MMEGKs
,일식,밀풰유나베,비쥬얼이 압도적!뜨끈한 전골,2밀풰유나베,https://www.youtube.com/watch?v=dpqd8gnkkSQ
,일식,사케동,연어덕후라면 거부할수없는!,2사케동,https://www.youtube.com/watch?v=DUQ2039L5mI
,일식,야키소바,볶음국수란 이런거지!,2야키소바,https://www.youtube.com/watch?v=t6ySOMjpUTs
,일식,규동,일본지하철식당 대표주자,2규동,https://www.youtube.com/watch?v=2yX69ZmltPc
,일식,일본가정식,일본가정속 평범하지만 특별한 식사,2일본가정식,https://www.youtube.com/watch?v=TzRFwndTJ_E
,일식,알마끼,톡톡튀는 알들이 입속에서 사르르,2알마끼,https://www.youtube.com/watch?v=fctrwUJrJGo
,일식,일식계란찜,육수로 부드러움을 업시킨다!,2일식계란찜,https://www.youtube.com/watch?v=WsarqhFQQAM
,일식,오니기리,간단하게 만들고 간편하게 먹는다!,2오니기리,https://www.youtube.com/watch?v=fdmhipnCP9I
,일식,돈코츠라멘,순대국느낌이 나는 라멘!,2돈코츠라멘,https://www.youtube.com/watch?v=s2v3kuukWjo
,일식,초밥,일본을 대표하는 일식최고,2초밥,https://www.youtube.com/watch?v=aYBxDJdzBIk
,일식,낫토비빔밥,세계가 인정한 건강식!,2낫토비빔밥,https://www.youtube.com/watch?v=uW8ofsRyxcM
,일식,탄멘,중국음식인듯 일본음식인듯.,2탄멘,https://www.youtube.com/watch?v=xRQGWVPcuRU
,일식,타코야끼,길거리 음식의 대표주자,2타코야끼,https://www.youtube.com/watch?v=2Awmj8RAe7Q
,일식,텐동,바삭한 튀김이 생명 !,2텐동,https://www.youtube.com/watch?v=sojrHvVex6w
